Unnamed: 0, cste, Haar0.617
Unnamed: 0, cste, Haar0.617
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, Haar0.617, cos(2pi1posx), sin(2pi*5posx), xx
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, Haar0.617, sin(2pi*5posx), xx
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, Haar0.617, sin(2pi*5posx), xx
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, Haar0.617, sin(2pi*5posx), xx
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, Haar0.617, sin(2pi*5posx), xx
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, Haar0.617
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, Haar0.617, sin(2pi*5posx), xx
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, Haar0.617
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, Haar0.617
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, sin(2pi*5posx), xx
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste
Unnamed: 0, cste, Haar0.617, sin(2pi*5posx), xx
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, Haar0.617
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, Haar0.617, sin(2pi*5posx), xx
Unnamed: 0, cste, Haar0.617, cos(2pi1posx), sin(2pi*5posx), xx
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, xx
Unnamed: 0, cste, Haar0.617, sin(2pi*5posx), xx
Unnamed: 0, cste, Haar0.617
Unnamed: 0, cste, Haar0.617, sin(2pi*5posx), xx
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, Haar0.617
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, Haar0.617, sin(2pi*5posx), xx
Unnamed: 0, cste, Haar0.617, cos(2pi1posx), xx
Unnamed: 0, cste, Haar0.617
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, Haar0.617, sin(2pi*5posx), xx
Unnamed: 0, cste, Haar0.617, sin(2pi*5posx), xx
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, Haar0.617, cos(2pi1posx), xx
Unnamed: 0, cste, Haar0.617, sin(2pi*5posx), xx
Unnamed: 0, cste, Haar0.617, sin(2pi*5posx), xx
Unnamed: 0, cste, Haar0.617, sin(2pi*5posx), xx
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, Haar0.617
Unnamed: 0, cste, Haar0.617, cos(2pi1posx), sin(2pi*5posx), xx
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, Haar0.617, sin(2pi*5posx), xx
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, Haar0.617, sin(2pi*5posx), xx
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, Haar0.617, xx
Unnamed: 0, cste, Haar0.617, sin(2pi*5posx), xx
Unnamed: 0, cste
